,COMPANY,date,SDG_12
187143,pfizer inc,2016-04-24,-1.6924038838879625
187466,pfizer inc,2016-04-25,-1.5620219316303496
188078,pfizer inc,2016-04-26,-1.009469777311052
188498,pfizer inc,2016-04-27,-0.11610542927583972
188984,pfizer inc,2016-04-28,0.4380333848292425
189489,pfizer inc,2016-04-29,-0.07404504292328747
189967,pfizer inc,2016-04-30,-3.1676110946445517
190467,pfizer inc,2016-05-01,-2.1535708216051446
190843,pfizer inc,2016-05-02,-0.36806788843720006
191313,pfizer inc,2016-05-03,-0.93858996784547
191800,pfizer inc,2016-05-04,0.36529602786553245
192299,pfizer inc,2016-05-05,0.29234325550291224
192787,pfizer inc,2016-05-06,-1.0386905906824975
193317,pfizer inc,2016-05-07,-2.3220144984070723
193745,pfizer inc,2016-05-08,-1.7594867922726227
194205,pfizer inc,2016-05-09,-0.2986745088239455
194612,pfizer inc,2016-05-10,-0.9412345366854568
195077,pfizer inc,2016-05-11,-0.8356063635254873
195708,pfizer inc,2016-05-12,-1.2143229518647514
196094,pfizer inc,2016-05-13,-1.3800366648503082
196561,pfizer inc,2016-05-14,-4.901765488644703
196962,pfizer inc,2016-05-15,-4.3359438186144486
197390,pfizer inc,2016-05-16,-0.9638907190757587
197803,pfizer inc,2016-05-17,-1.3223718782387526
198383,pfizer inc,2016-05-18,-1.2904263979677333
198836,pfizer inc,2016-05-19,-1.739840578362485
199377,pfizer inc,2016-05-20,-1.0432876229301515
199805,pfizer inc,2016-05-21,-1.0266271085442644
200246,pfizer inc,2016-05-22,-2.2338451848134957
200641,pfizer inc,2016-05-23,-1.9763257214668968
201049,pfizer inc,2016-05-24,-0.027968684820164316
201560,pfizer inc,2016-05-25,-0.5431663262511109
202144,pfizer inc,2016-05-26,-2.558986860903747
202564,pfizer inc,2016-05-27,-2.670675785539741
203082,pfizer inc,2016-05-28,-1.6050128643220014
203436,pfizer inc,2016-05-29,-3.480740422901139
203882,pfizer inc,2016-05-30,1.359386655879881
204246,pfizer inc,2016-05-31,-1.994575841769136
204834,pfizer inc,2016-06-01,-0.1600430190026912
205177,pfizer inc,2016-06-02,0.1527471442866071
205763,pfizer inc,2016-06-03,-0.38798154018791753
