,COMPANY,date,SDG_15
542083,conocophillips,2018-06-03,-2.12958767557771
542638,conocophillips,2018-06-04,-0.9617653929892114
543066,conocophillips,2018-06-05,-0.2575362107890522
543427,conocophillips,2018-06-06,-0.7274496440543006
544096,conocophillips,2018-06-07,-1.3198696174389386
544520,conocophillips,2018-06-08,-1.1853062281578148
544958,conocophillips,2018-06-09,0.038232994985267964
545430,conocophillips,2018-06-10,-0.716845878136201
545912,conocophillips,2018-06-11,-1.5284144488766276
546294,conocophillips,2018-06-12,1.0580622206408856
546846,conocophillips,2018-06-13,-3.8448329192181823
547303,conocophillips,2018-06-14,-1.8575947124049648
547811,conocophillips,2018-06-15,-2.302357516278933
548237,conocophillips,2018-06-16,
548777,conocophillips,2018-06-17,-3.691751923664005
549216,conocophillips,2018-06-18,-2.474458838341702
549627,conocophillips,2018-06-19,-0.6911861877316696
550182,conocophillips,2018-06-20,-2.1517096165927185
550697,conocophillips,2018-06-21,-1.9614779071037378
551119,conocophillips,2018-06-22,-0.2977240271184967
551557,conocophillips,2018-06-23,-5.825609299397751
551915,conocophillips,2018-06-24,-4.9779906407215915
552331,conocophillips,2018-06-25,-4.68018345366415
552780,conocophillips,2018-06-26,-1.4582348731309651
553366,conocophillips,2018-06-27,-1.6144514026987518
553892,conocophillips,2018-06-28,-1.2555120649341571
554476,conocophillips,2018-06-29,-1.796371420656747
554934,conocophillips,2018-06-30,-1.7289080541332391
555343,conocophillips,2018-07-01,0.1798561151079135
555683,conocophillips,2018-07-02,-1.072860412463056
556268,conocophillips,2018-07-03,-2.168381599940545
556612,conocophillips,2018-07-04,-1.199156171864602
557032,conocophillips,2018-07-05,0.884176949117768
557509,conocophillips,2018-07-06,-0.5275142290663892
558050,conocophillips,2018-07-07,-2.059504167488483
558639,conocophillips,2018-07-08,
558977,conocophillips,2018-07-09,0.6878442917239784
559382,conocophillips,2018-07-10,-1.2854461769368581
559752,conocophillips,2018-07-11,-1.7305506239920223
560359,conocophillips,2018-07-12,-1.9211836100620148
560842,conocophillips,2018-07-13,-1.4244869615912263
