,COMPANY,date,SDG_16
228514,netflix inc,2016-07-24,0.43207814741052797
228859,netflix inc,2016-07-25,-0.2108887503044084
229365,netflix inc,2016-07-26,-0.4852127394629674
229856,netflix inc,2016-07-27,-0.4197777206908964
230358,netflix inc,2016-07-28,-0.2475090912190266
230899,netflix inc,2016-07-29,-0.2474403095763658
231382,netflix inc,2016-08-10,-0.35096600802835587
231872,netflix inc,2016-08-11,-0.0580335401145328
232395,netflix inc,2016-08-12,-4.288647884511512
232875,netflix inc,2016-08-13,-5.48714468004753
233310,netflix inc,2016-08-14,-2.884223527865953
233733,netflix inc,2016-08-15,-1.610505798129814
234193,netflix inc,2016-08-16,-0.510890497294954
234708,netflix inc,2016-08-17,-1.0445476051133025
235207,netflix inc,2016-08-18,-0.34460584915633163
235736,netflix inc,2016-08-19,-2.3070800481582503
236249,netflix inc,2016-08-20,-1.339047095051397
236636,netflix inc,2016-08-21,-1.331805446737431
237104,netflix inc,2016-08-22,-0.5638106617520374
237550,netflix inc,2016-08-23,-1.0155077526957996
238048,netflix inc,2016-08-24,-0.7304079318007872
238560,netflix inc,2016-08-25,-1.159041653714423
239035,netflix inc,2016-08-26,-1.995621223051168
239543,netflix inc,2016-08-27,-2.484683219440584
239939,netflix inc,2016-08-28,-1.199828637980858
240408,netflix inc,2016-08-29,0.06451107178359021
240900,netflix inc,2016-08-30,-0.3561804483487979
241356,netflix inc,2016-08-31,-0.4561992578993982
241856,netflix inc,2016-09-01,-0.5654726511677887
242363,netflix inc,2016-09-02,-0.5277266327144374
