,COMPANY,date,SDG_2
396044,exxon mobil corporation,2017-08-06,-1.4414806273610083
396434,exxon mobil corporation,2017-08-07,0.6564545022549011
396860,exxon mobil corporation,2017-08-08,-1.9844422418807928
397377,exxon mobil corporation,2017-08-09,-1.2186915595617496
397931,exxon mobil corporation,2017-08-10,-1.7897085963961874
398394,exxon mobil corporation,2017-08-11,-2.0759462473263013
398921,exxon mobil corporation,2017-08-12,0.012086477568044707
399350,exxon mobil corporation,2017-08-13,-0.5529473152828991
399735,exxon mobil corporation,2017-08-14,-2.2203190478750585
400195,exxon mobil corporation,2017-08-15,-0.28369866771804114
400705,exxon mobil corporation,2017-08-16,0.018485455983088192
401280,exxon mobil corporation,2017-08-17,0.3872631983545429
401757,exxon mobil corporation,2017-08-18,-1.8526492357227655
402263,exxon mobil corporation,2017-08-19,-0.8608232241991182
402639,exxon mobil corporation,2017-08-20,-3.014530087619369
402989,exxon mobil corporation,2017-08-21,0.7567427158388179
403497,exxon mobil corporation,2017-08-22,-2.454118849740287
404048,exxon mobil corporation,2017-08-23,-0.9264340689192508
404468,exxon mobil corporation,2017-08-24,-3.9481296448252703
404946,exxon mobil corporation,2017-08-25,-4.161236619150767
405438,exxon mobil corporation,2017-08-26,-5.452250340288607
405892,exxon mobil corporation,2017-08-27,-4.6157481660571476
406285,exxon mobil corporation,2017-08-28,-3.7121461203604555
406791,exxon mobil corporation,2017-08-29,-3.15153454007448
407299,exxon mobil corporation,2017-08-30,-3.8808777442321656
407790,exxon mobil corporation,2017-08-31,-3.3117036255541046
408349,exxon mobil corporation,2017-09-01,-3.3497624179951955
408745,exxon mobil corporation,2017-09-02,-4.087957422473837
409164,exxon mobil corporation,2017-09-03,-3.6699440786647295
409621,exxon mobil corporation,2017-09-04,-3.5429906660189836
410030,exxon mobil corporation,2017-09-05,-2.913702307187877
410539,exxon mobil corporation,2017-09-06,-3.41628014876324
411048,exxon mobil corporation,2017-09-07,-1.91213305557035
411546,exxon mobil corporation,2017-09-08,-4.55897198805818
412069,exxon mobil corporation,2017-09-09,-4.495371347118726
412475,exxon mobil corporation,2017-09-10,-4.083568754929525
412999,exxon mobil corporation,2017-09-11,-4.874461761237671
413426,exxon mobil corporation,2017-09-12,-3.262541482830668
413938,exxon mobil corporation,2017-09-13,-2.369194809808223
414566,exxon mobil corporation,2017-09-14,-2.4865570119720406
414955,exxon mobil corporation,2017-09-15,-1.0034702462159295
