,COMPANY,date,SDG_3
389625,twitter inc,2017-07-24,-1.7956755947983134
390108,twitter inc,2017-07-25,-1.466658759695758
390606,twitter inc,2017-07-26,-1.7893855204128746
391107,twitter inc,2017-07-27,-2.013141699791976
391611,twitter inc,2017-07-28,-2.5189704628845435
392116,twitter inc,2017-07-29,-2.182295004279771
392574,twitter inc,2017-07-30,-2.048790230745284
392966,twitter inc,2017-07-31,-2.0388791095243213
393467,twitter inc,2017-08-01,-2.5698541387569316
393977,twitter inc,2017-08-02,-1.9298658967293425
394512,twitter inc,2017-08-03,-1.9040288359816562
395018,twitter inc,2017-08-04,-2.4544585691925085
395534,twitter inc,2017-08-05,-2.9830883284181233
395977,twitter inc,2017-08-06,-2.9475492921868915
396377,twitter inc,2017-08-07,-1.6835960502441292
396863,twitter inc,2017-08-08,-1.626832693549805
397364,twitter inc,2017-08-09,-2.0355400979037857
397868,twitter inc,2017-08-10,-2.1670692331795074
398365,twitter inc,2017-08-11,-2.125966392398428
398863,twitter inc,2017-08-12,-3.4293628027970895
399291,twitter inc,2017-08-13,-5.021458280973957
399679,twitter inc,2017-08-14,-3.790728412886392
400164,twitter inc,2017-08-15,-3.4155542593202863
400682,twitter inc,2017-08-16,-3.3893706796997907
401173,twitter inc,2017-08-17,-4.017019634879285
401687,twitter inc,2017-08-18,-4.786623193603115
402172,twitter inc,2017-08-19,-4.148804768539386
402588,twitter inc,2017-08-20,-2.7846682937245117
402955,twitter inc,2017-08-21,-2.1776083371024884
403451,twitter inc,2017-08-22,-2.23876317464714
403940,twitter inc,2017-08-23,-2.2742906440579835
404438,twitter inc,2017-08-24,-2.328895902353668
404932,twitter inc,2017-08-25,-3.0864671570908513
405416,twitter inc,2017-08-26,-3.491912003593999
405866,twitter inc,2017-08-27,-3.787727415312251
406281,twitter inc,2017-08-28,-2.5860839465284884
406775,twitter inc,2017-08-29,-2.1869260187556643
407279,twitter inc,2017-08-30,-2.404026209053543
407774,twitter inc,2017-08-31,-2.282801248945449
408245,twitter inc,2017-09-01,-2.0426119205417748
408739,twitter inc,2017-09-02,-2.185330498830494
