,COMPANY,date,SDG_6
639610,edison international,2018-12-27,0.6521391940091925
640089,edison international,2018-12-28,1.3627626266441726
640573,edison international,2018-12-29,0.936549022351254
641009,edison international,2018-12-30,
641353,edison international,2018-12-31,
641730,edison international,2019-01-01,-0.5901248060079927
642369,edison international,2019-01-02,0.110987791342952
642595,edison international,2019-01-03,-1.0395890952341313
643119,edison international,2019-01-04,-1.0332462204521196
643510,edison international,2019-01-05,-1.2381455234281697
644041,edison international,2019-01-06,2.24929709465792
644351,edison international,2019-01-07,1.3247964877018967
644750,edison international,2019-01-08,-0.4866908773665603
645325,edison international,2019-01-09,0.15658085803600214
645696,edison international,2019-01-10,-1.92697768762677
646152,edison international,2019-01-11,-2.201413260299847
646841,edison international,2019-01-12,2.86731937100238
647173,edison international,2019-01-13,-0.651827286697819
647675,edison international,2019-01-14,-0.23268926815403326
647895,edison international,2019-01-15,-0.9661261430042253
648334,edison international,2019-01-16,-4.817148373983947
648905,edison international,2019-01-17,-3.3212985839271383
649368,edison international,2019-01-18,-3.234164569933313
649858,edison international,2019-01-19,-3.6330866637864863
650365,edison international,2019-01-20,-4.10509031198686
650784,edison international,2019-01-21,2.904621152043835
651330,edison international,2019-01-22,-1.389120489211339
651787,edison international,2019-01-23,-3.23298404166243
652392,edison international,2019-01-24,-3.610680245873796
652752,edison international,2019-01-25,-1.5010132848239104
653302,edison international,2019-01-26,0.05085661029904378
653699,edison international,2019-01-27,-3.356100533232257
654106,edison international,2019-01-28,-1.3611920019000285
654644,edison international,2019-01-29,-3.041855490215129
655111,edison international,2019-01-30,0.03886603627672263
655788,edison international,2019-01-31,0.9231919273458724
656198,edison international,2019-02-01,0.8266684411931902
656661,edison international,2019-02-02,
657145,edison international,2019-02-03,-1.30977013224492
657810,edison international,2019-02-04,1.7991508377429022
658275,edison international,2019-02-05,0.1988251767178782
